brand,model,ram,storage,price,display_size,display_type
Honor,X9c,12,256,62000,6.78,AMOLED
Samsung,Galaxy S25 Ultra,12,256,212000,6.9,AMOLED
Samsung,Galaxy A56,8,128,72000,6.7,Super AMOLED
Samsung,A16,4,128,31000,6.7,Super AMOLED
Samsung,Galaxy M16,6,128,37000,6.7,Super AMOLED
Samsung,A06,4,64,22000,6.7,HD
Xiaomi,Redmi note 14,8,256,41000,6.67,AMOLED
Realme,C75,8,256,40000,6.7,Full HD
Xiaomi,Note 14 Pro,8,256,52000,6.67,AMOLED
Samsung,M35,6,128,42000,6.6,Super AMOLED
Samsung,A16,6,128,35000,6.7,Super AMOLED
Samsung,Galaxy A36,8,128,62000,6.7,Super AMOLED
Samsung,Galaxy A07 4G,4,64,24000,6.7,Full HD
Oppo,Reno12 F,8,256,41000,6.7,AMOLED
Samsung,S24 FE,8,256,109000,6.7,AMOLED
Samsung,A05,4,64,20000,6.7,HD
INFINIX,Smart 9,4,128,21000,6.7,HD
INFINIX,HOT 50 PRO PLUS,8,256,40000,7,AMOLED
INFINIX,Hot 50i,12,128,23000,8,HD
Apple,iPhone 16 Pro Max 8/256GB DS,8,256,297000,6.9,AMOLED
Samsung,F05,4,64,21000,6.7,HD
Realme,C75,8,128,37000,6.7,Full HD
Poco,X7 Pro,8,256,70000,6.67,AMOLED
Samsung,S24 Ultra,12,256,184000,6.8,AMOLED
INFINIX,Smart 8,4,64,17000,6.6,HD
Apple,iPhone 16 8/128GB 1 SIM,8,128,151000,6.1,Rétina
Apple,iPhone 16 Pro Max 8/256GB 1 SIM,8,256,290000,6.9,AMOLED
Xiaomi,Redmi Note 14 Pro+,8,256,71000,6.67,AMOLED
Samsung,Galaxy M36,6,128,40000,6.7,Super AMOLED
Realme,C67 4G,8,256,35000,6.72,Full HD
Samsung,A35,8,128,58000,6.6,Super AMOLED
Realme,12,8,256,39000,6.72,Full HD
Honor,200,12,256,68000,6.7,AMOLED
Samsung,Galaxy S25 Ultra,12,512,205000,6.9,AMOLED
Samsung,Galaxy A26,6,128,48000,6.7,Super AMOLED
INFINIX,Hot 50,8,256,29000,6.7,HD
Xiaomi,Redmi note 14,6,128,35000,6.67,AMOLED
Apple,iPhone 14 6/128GB 1SIM,6,128,130000,6.1,Rétina
Samsung,M14,4,64,28000,6.6,Full HD
Samsung,A05s,6,128,32000,6.7,Full HD
Realme,C67 4G,8,128,34000,6.72,Full HD
Realme,Note 50,3,64,21000,6.74,HD
Realme,C63,8,256,31000,6.75,HD
Realme,Note 60,4,128,24000,6.74,AMOLED
Realme,C65 4G,8,256,33000,6.67,HD
Oppo,A40,4,128,26000,6.67,HD
Samsung,A16,8,128,37000,6.7,Super AMOLED
INFINIX,Smart 9,4,64,18000,6.7,HD
Samsung,Galaxy A36,6,128,58000,6.7,Super AMOLED
Apple,iPhone 17 Pro Max,12,256,315000,6.9,Rétina HD
Samsung,Galaxy M06,4,128,28000,6.7,HD
Samsung,Galaxy M16,4,128,35000,6.7,Super AMOLED
Honor,400 pro,12,512,132000,6.7,AMOLED
